사건일련번호,장소일련번호,촬영장소명,작품명,제작연도,영화작품코드,장면설명,등장인물,출처,출처 웹페이지주소(URL),시도,시군구,지번주소,도로명주소,위도,경도
K17686-A-011,GG-P-1113,용인경찰체력단련장(구 용인경찰대학교),내안의 그놈,2018,K17686,(구)경찰대학,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17686,경기도,용인시,경기도 용인시 기흥구 언남동 88,경기도 용인시 기흥구 언남로 74,37.2985542,127.1325999
K17686-A-012,GG-P-0180,경기도 의왕시 왕곡동 공터 1,내안의 그놈,2018,K17686,"(구)김밥전문점사보르왕곡점에서 촬영,폐업",,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17686,경기도,의왕시,경기도 의왕시 왕곡동 595,,37.3461195,126.9766392
K17593-A-063,IC-P-0307,인천광역시 남구 용현3동 공터 1,마약왕,2017,K17593,"(구)복생여인숙,폐업추정",,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17593,인천광역시,남구,인천광역시 남구 용현3동 459-41,,37.4568521,126.6509342
K17510-A-019,SU-P-1820,서울특별시 중구 명동1가 공터 1,성난 황소,2018,K17510,(구)비프루브 명동점 에서 촬영. 현재는 폐업,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17510,서울특별시,중구,서울특별시 중구 명동1가 77-4,서울특별시 중구 명동길 5,37.5637932,126.9825884
K17431-A-018,SU-P-1601,서울특별시 강남구 논현동 공터 2,상류사회,2018,K17431,(구)빌라드베일리,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/17431,서울특별시,강남구,서울특별시 강남구 논현동 6-2,,37.517973,127.0250434
K19599-A-026,GJ-P-0015,광주광역시 동구 불로동 공터 1,악질경찰,2018,K19599,(구)서남대병원,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/19599/own/image#dataHashFullCreditDetail1,광주광역시,동구,광주광역시 동구 불로동 174,광주광역시 동구 천변우로 415,35.144692,126.9146633
K16177-A-004,DJ-P-0105,대한민국상이군경회 충청사업소(구 충남구청 경찰청),살인자의 기억법,2016,K16177,(구)충남구청 경찰청 주차장,,KMDb,,대전광역시,중구,대전광역시 중구 선화동 287-1,대전광역시 중구 보문로 287,36.3272776,127.4203206
K10896-A-002,GG-P-0370,김포택견전수관,웨딩드레스,2009,K10896,"(사)대한택견협회김포전수관, 폐업추정",,KMDb,,경기도,김포시,경기도 김포시 사우동 945,경기도 김포시 돌문로 50,37.6195633,126.7177525
K05234-A-006,GG-P-1208,인덕원마을삼성아파트,죽거나 혹은 나쁘거나,2000,K05234,(주)삼성주택 인덕원 공사장에서 촬영되었음,,KMDb,,경기도,안양시,경기도 안양시 동안구 관양동 1510-1,경기도 안양시 동안구 안양판교로 42,37.3985646,126.9790889
K19406-A-001,GG-P-1552,함창타워,증인,2018,K19406,(주)함창,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/19406,경기도,안산시,경기도 안산시 단원구 고잔동 523,경기도 안산시 단원구 화랑로 376,37.3209919,126.8292695
K18029-A-018,JB-P-0105,대성고등학교,말모이,2018,K18029,폐교,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/18029,전라북도,고창군,전라북도 고창군 대산면 매산리 1157-1,전라북도 고창군 대산면 고산성로 17,35.3384831,126.6026836
K20469-A-006,CB-P-0141,청남가구단지(구 쥬니어가구백화점),변신,2019,K20469,103호,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/20469,충청북도,청주시,충청북도 청주시 서원구 남이면 외천리 115-1,충청북도 청주시 서원구 남이면 가구단지길 21-3,36.5578105,127.4292045
K10291-A-002,GG-P-0513,동진아파트,불신지옥,2009,K10291,,,KMDb,,경기도,시흥시,경기도 시흥시 포동 13-2,경기도 시흥시 신현로38번길 29,37.4085228,126.7839917
K05507-A-007,IC-P-0277,월미도,고양이를 부탁해,2001,K05507,여고 동창생 주인공들의 졸업 이후 모임 장면,,KMDb,,인천광역시,중구,인천광역시 중구 북성동1가 산1,,37.4719314,126.6025384
K14737-A-011,GJ-P-0019,광주극장,극비수사,2015,K14737,1970년대 극장,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/14737,광주광역시,동구,광주광역시 동구 충장로5가 62-9,광주광역시 동구 충장로46번길 10,35.1498987,126.9122895
K14737-A-008,BS-P-0289,문화아파트,극비수사,2015,K14737,1970년대 부산 길거리,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/14737,부산광역시,서구,부산광역시 서구 동대신동3가 173,부산광역시 서구 구덕로 350,35.1149975,129.0159752
K09422-A-004,SU-P-1703,서울특별시 서대문구 북아현동,추격자,2007,K09422,2008.5.6. 북아현1·2동을 북아현동으로 통합,,KMDb,,서울특별시,서대문구,서울특별시 서대문구 북아현동,,37.5609677,126.9542682
K09422-A-009,SU-P-1708,서울특별시 서대문구 충현동,추격자,2007,K09422,2008.5.6. 북아현3동과 충정로동을 충현동으로 통합,,KMDb,,서울특별시,서대문구,서울특별시 서대문구 충현동,,37.5628962,126.9623598
K13865-A-017,GW-P-0469,태양의후예 태백세트장(구 태백 한보광업소),용의자,2013,K13865,2008년 10월 폐광,,KMDb,https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/13865,강원도,태백시,강원도 태백시 통동 산67-38,,37.160812,129.0429705
K09502-A-005,SU-P-2793,제일이저축은행(구 제일저축은행 장충동지점),강철중,2008,K09502,2011.9.18. 영업정지 후 KB저축은행으로 인수,,KMDb,,서울특별시,중구,서울특별시 중구 장충동1가 117,서울특별시 중구 동호로 242 4층,37.5590818,127.007055
K07373-A-012,SU-P-2514,용산역사박물관(구 중앙대학교 용산병원),바보,2008,K07373,2011년 중앙대학교 용산병원 폐업 후 2021년 건물 철거 후 2022년 용산역사발물관이 개관,,KMDb,,서울특별시,용산구,서울특별시 용산구 한강로3가 65-154,서울특별시 용산구 한강대로14길 35-29,37.525137,126.9658044
K11345-A-005,GN-P-0107,대한노인회 합천군지회(구 경상남도가축위생시험소 북부지소),포화 속으로,2010,K11345,"2012년 이전해서 1987년 위치 입력, 장인분교(경상남도 축산진흥 연구소 북부지소)",,KMDb,,경상남도,합천군,경상남도 합천군 합천읍 합천리 307-1,경상남도 합천군 합천읍 교동1길 33,35.5651067,128.1649569
K13025-A-017,JB-P-0319,전라감영(구 전라북도청),범죄와의 전쟁 : 나쁜놈들 전성시대,2011,K13025,2015년 이 자리에는 현재 전라감영이 위치함 (나무위키 참조),,KMDb,,전라북도,전주시,전라북도 전주시 완산구 중앙동4가 1-6,,35.8161994,127.1461799
K04950-A-001,SU-P-0481,그랜드워커힐서울(구 쉐라톤 워커힐 호텔),찜,1998,K04950,2017년 '그랜드 워커힐 서울'로 개칭,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/04950,서울특별시,광진구,서울특별시 광진구 광장동 22-1,서울특별시 광진구 워커힐로 177,37.5558025,127.1111333
K14775-A-004,SU-P-1436,서울교통공사 사당별관,오피스,2014,K14775,2017년에 서울교통공사로 통합되었음. 주소는 통합 전 세울메트로 본사 주소,,KMDb,,서울특별시,서초구,서울특별시 서초구 방배동 447-7,서울특별시 서초구 효령로 5,37.4762456,126.9854724
K20960-A-027,SU-P-0485,그린빌오피스텔(구 (주)보진재),유열의 음악앨범,2019,K20960,2019년 11월 영업정지 한걸로 확인됨.,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/20960,서울특별시,영등포구,서울특별시 영등포구 당산동6가 306-1,서울특별시 영등포구 당산로 237,37.5349161,126.9022391
K14737-A-027,SU-P-1256,브라이튼여의도지웰아파트(구 여의도 문화방송 사옥),극비수사,2015,K14737,"2019년 철거됨, 현재는 브라이튼여의도지웰 23년4월 준공 예정",,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/14737,서울특별시,영등포구,서울특별시 영등포구 여의도동 31,,37.5239622,126.9300148
K06199-A-015,SU-P-1635,서울특별시교육청(구 수도여자고등학교),늑대의 유혹,2004,K06199,2024년 서울특별시교육청 이전예정,,KMDb,,서울특별시,용산구,서울특별시 용산구 후암동 168,,37.5461738,126.975857
K12485-A-013,DJ-P-0174,중촌SKVIEW아파트(구 중촌주공1단지),해결사,2010,K12485,2025년 3월 예정,,KMDb,,대전광역시,중구,대전광역시 중구 중촌동 21,대전광역시 중구 목중로54번길 10,36.339475,127.4099817
K17298-A-015,CN-P-0110,서대산약용자연휴양림,마녀,2018,K17298,23.12 예정,,KMDb,https://www.kmdb.or.kr/trailer/trailerPlayPop?pFileNm=MK041892_P01.mp4,충청남도,금산군,충청남도 금산군 추부면 성당리 산67-1,,36.2281888,127.5256841
K05587-A-001,SU-P-0353,고센,4발가락,2002,K05587,30년전개업,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/05587,서울특별시,강남구,서울특별시 강남구 청담동 88-23,서울특별시 강남구 선릉로158길 18,37.5252616,127.0414547
K06199-A-003,SU-P-2480,올림픽선수기자촌아파트,늑대의 유혹,2004,K06199,3단지 메콰세타이어 길에서 조한선이 이청아를 업고 걷는 장면의 배경이 됨,"조한선, 이청아",KMDb,,서울특별시,송파구,서울특별시 송파구 방이동 89,서울특별시 송파구 양재대로 1218,37.512483,127.1296891
K15173-A-001,IC-P-0011,LG 유플러스 로밍센터 인천공항제1여객터미널점,좋아해줘,2015,K15173,3층,,KMDb,,인천광역시,중구,인천광역시 중구 운서동 2851 3층 출국장,인천광역시 중구 공항로 271 제1여객터미널 3층 출국장,37.4490059,126.4525677
K15173-A-003,IC-P-0009,KT로밍센터 인천공항제1여객터미널점,좋아해줘,2015,K15173,3층,,KMDb,,인천광역시,중구,인천광역시 중구 운서동 2851 3층 출국장 체크인 카운터 F사이,인천광역시 중구 공항로 271 3층 출국장 체크인 카운터 F사이,37.4490059,126.4525677
K10106-A-005,GW-P-0038,강원고등학교,보통소년,2008,K10106,"3학년 2반, 생물실",,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/10106,강원도,춘천시,강원도 춘천시 동면 장학리 산36,강원도 춘천시 동면 장학길 24,37.8965655,127.7569938
K10433-A-005,GG-P-0516,동탄새강마을휴먼시아아파트,아빠가 여자를 좋아해,2009,K10433,5-2단지,,KMDb,,경기도,화성시,경기도 화성시 반송동 159,경기도 화성시 동탄중앙로 99,37.194228,127.0688366
K09524-A-002,GG-P-0130,경기도 남양주시 화도읍 마석우리 공터 1,세리와 하르,2008,K09524,7공주가 있었으나 폐업함,,KMDb,,경기도,남양주시,경기도 남양주시 화도읍 마석우리 307-1,,37.6542842,127.3055232
K13379-A-008,SU-P-0016,A플러스아카데미 영어전문교습소,세계일주,2012,K13379,A+영어학원(마포),,KMDb,,서울특별시,마포구,서울특별시 마포구 염리동 149-7,서울특별시 마포구 백범로25길 17,37.5468185,126.9467195
K14208-A-001,SU-P-2645,이디야커피 종합운동장역점(구 ATC 신천점),신촌좀비만화,2014,K14208,"ATC 신천점 2016년 폐업, 2016년 7월 28일 오프라인 매장 운영종료",,KMDb,,서울특별시,송파구,서울특별시 송파구 잠실동 175-7,서울특별시 송파구 올림픽로 76 제이타워 1층 104호,37.5115606,127.0793305
K02749-A-001,SU-P-0770,동대문종합시장,서로 좋아해,1974,K02749,A동5층 관광회관,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/02749,서울특별시,종로구,서울특별시 종로구 종로6가 270-3,서울특별시 종로구 종로 266,37.5706086,127.0073435
K12201-A-007,SU-P-2293,양화선착장,카페 느와르,2009,K12201,C&한강랜드 유람선,,KMDb,,서울특별시,영등포구,서울특별시 영등포구 양화동 32-1,서울특별시 영등포구 노들로 111,37.5450021,126.8948715
K13405-A-035,SU-P-3365,할리스 청계천점(구 CJ푸드빌 더 스테이크하우스 광교점),런닝맨,2012,K13405,CJ푸드빌 더 스테이크하우스 광교점 현재는 폐업함,,KMDb,,서울특별시,종로구,서울특별시 종로구 관철동 11-5 4층,서울특별시 종로구 청계천로 81 4층,37.568531,126.9865878
K13405-A-020,SU-P-3365,할리스 청계천점(구 CJ푸드빌 더 플레이스 광교점),런닝맨,2012,K13405,CJ푸드빌 더 플레이스 광교점 현재는 폐업함,,KMDb,,서울특별시,종로구,서울특별시 종로구 관철동 11-5,서울특별시 종로구 청계천로 81,37.568531,126.9865878
K15103-A-013,SU-P-2998,커넥트투,남과 여,2015,K15103,CONNECT TO,,KMDb,,서울특별시,송파구,서울특별시 송파구 신천동 29,서울특별시 송파구 올림픽로 300 롯데월드몰 엔터테인먼트동 1층,37.5129211,127.1027399
K14311-A-001,SU-P-1731,서울특별시 성북구 길음동 공터 1,말하지 못한 비밀,2014,K14311,CU 길음현대점 폐업,,KMDb,,서울특별시,성북구,서울특별시 성북구 길음동 21-138,,37.6090424,127.0284769
K13865-A-021,SU-P-0047,CU 양재디오빌점(구 CU도곡디오빌점),용의자,2013,K13865,CU도곡디오빌점,,KMDb,https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/13865,서울특별시,강남구,서울특별시 강남구 도곡동 952 디오빌빌딩 1층,서울특별시 강남구 강남대로 256 대우양재디오빌,37.4864066,127.0335047
K20036-A-002,GG-P-0027,G1230 더블랙,미성년,2018,K20036,G1230 백마캠퍼스,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/20036/own/image#dataHashFullCreditDetailDetail4,경기도,고양시,경기도 고양시 일산동구 마두동 736-1,경기도 고양시 일산동구 일산로 197 센터21 5층,37.6539154,126.7899396
K15226-A-012,SU-P-2219,아이에이치큐(구 iHQ 미디어 스튜디오),"날, 보러와요",2015,K15226,iHQ 미디어 스튜디오,,KMDb,https://www.kmdb.or.kr/db/kor/detail/movie/K/15226,서울특별시,강남구,서울특별시 강남구 논현동 267-15,서울특별시 강남구 선릉로 629,37.5129083,127.0425742
